[2023-01-17 14:08:57] [INFO   ] Inicio del programa 
[2023-01-17 14:08:58] [INFO   ] Creación del gestor de la BBDD 
[2023-01-17 14:08:58] [INFO   ] - Se han creado las tablas 
[2023-01-17 14:08:58] [SEVERE ] *Error insertando datos en la BBDD: [SQLITE_CONSTRAINT_UNIQUE] A UNIQUE constraint failed (UNIQUE constraint failed: USUARIO.CONTRASEÑA) 
[2023-01-17 14:08:58] [INFO   ] Inicializado el programa con datos desde la BD 
[2023-01-17 14:09:02] [INFO   ] - Se han recuperado 4 usuario... 
[2023-01-17 14:09:02] [INFO   ] - Se han recuperado 4 cliente... 
[2023-01-17 14:09:02] [INFO   ] - Se han recuperado 59 animales... 
[2023-01-17 14:09:02] [INFO   ] - Se han recuperado 4 cliente... 
[2023-01-17 14:09:02] [INFO   ] - Se han recuperado 59 animales... 
[2023-01-17 14:09:02] [INFO   ] Usuario encontrado en VentanaPrincipal. Se abre la ventana Cliente 
[2023-01-17 14:09:05] [INFO   ] - Se han recuperado 4 cliente... 
[2023-01-17 14:09:05] [INFO   ] - Se han recuperado 59 animales... 
[2023-01-17 14:09:05] [INFO   ] - Se han recuperado 4 cliente... 
[2023-01-17 14:09:05] [INFO   ] - Se han recuperado 59 animales... 
[2023-01-17 14:09:05] [INFO   ] - Se han recuperado 4 cliente... 
[2023-01-17 14:09:05] [INFO   ] - Se han recuperado 59 animales... 
[2023-01-17 14:09:05] [INFO   ] - Se han recuperado 59 animales... 
[2023-01-17 14:09:05] [INFO   ] No se aplica ningun filtro 
[2023-01-17 14:09:05] [INFO   ] Cliente encontrado se abre la ventana acoger 
[2023-01-17 14:09:08] [INFO   ] - Se han recuperado 4 cliente... 
[2023-01-17 14:09:08] [INFO   ] - Se han recuperado 59 animales... 
[2023-01-17 14:09:08] [INFO   ] Se abre la ventana de adopción 
[2023-01-17 14:09:12] [INFO   ] - Se ha actualizado 1 animales 
[2023-01-17 14:09:12] [WARNING] Se ha guardado el contrato 
[2023-01-17 14:09:12] [INFO   ] Se ha guardado el contrato en VentanaAdopcion 
[2023-01-17 14:28:49] [INFO   ] Fin del programa 
